,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Explicit,External URLs,Duration (ms),genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Boom Clap,Charli XCX,SUCKER,5Ws5ktkIUJFpaIImvH3tYU,0Y1MWB026LYxGvhq4EcMiC,68,2014-12-15,False,https://open.spotify.com/track/0Y1MWB026LYxGvhq4EcMiC,169866,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.576,91.999
1,last day on earth,Tai Verdes,HDTV,6TIzz9Z4n03E5USTDzBweS,2sS1DcNGSsG34Ccua98Q4t,57,2022-09-16,False,https://open.spotify.com/track/2sS1DcNGSsG34Ccua98Q4t,172773,"['modern indie pop', 'singer-songwriter pop']",0.5,0.552,5,-5.83,1,0.222,0.323,4.97e-05,0.221,0.336,83.938
2,Shape of You,Ed Sheeran,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,7qiZfU4dY1lWllzX7mPBI3,89,2017-03-03,False,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,233713,"['pop', 'singer-songwriter pop', 'uk pop']",0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977
3,Bones,Imagine Dragons,Mercury - Acts 1 & 2,6yiXkzHvC0OTmhfDQOEWtS,54ipXppHLA8U4yqpOFTUhr,87,2022-07-01,False,https://open.spotify.com/track/54ipXppHLA8U4yqpOFTUhr,165265,"['modern rock', 'pop', 'rock']",0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061
4,Cradles,Sub Urban,Cradles,746AA6hN51bj4yUlGBHgUX,5sSYvDVyP0CP9TUiqy3fuF,73,2019-01-04,False,https://open.spotify.com/track/5sSYvDVyP0CP9TUiqy3fuF,209829,['modern indie pop'],0.537,0.586,6,-1.864,1,0.314,0.265,7.04e-05,0.175,0.624,79.056
5,Lean On,"Major Lazer, DJ Snake, MØ",Peace Is The Mission,2rqjmynngV4AmGoL1ZEuwM,01aTsQoKoeXofSTvKuunzv,79,2015-06-01,False,https://open.spotify.com/track/01aTsQoKoeXofSTvKuunzv,176561,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007
6,Animals,Maroon 5,V,2Auw0pTT6EcQdvHNimhLQI,2bL2gyO6kBdLkNSkxXNh6x,84,2014-09-02,False,https://open.spotify.com/track/2bL2gyO6kBdLkNSkxXNh6x,231013,['pop'],0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868
7,I Ain't Worried,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",04PEOM6kIEeq9lRp1asNP2,4h9wh7iOZ0GGn8QVp4RAOB,92,2022-05-13,False,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,148486,"['piano rock', 'pop']",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994
8,a thousand years,Christina Perri,A Thousand Years,15yvc643iYfQtb6zh9NEJo,6lanRgr6wXibZr8KgzXxBl,86,2011-10-18,False,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl,285120,['pop'],0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028
9,Blank Space,Taylor Swift,1989,2QJmrSgbdM35R67eoGQo4j,1p80LdxRV74UKvL8gnD7ky,78,2014-10-27,False,https://open.spotify.com/track/1p80LdxRV74UKvL8gnD7ky,231827,['pop'],0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006
10,Hymn for the Weekend,Coldplay,A Head Full of Dreams,3cfAM8b8KqJRoIzt3zLKqw,3RiPr603aXAoi4GHyXx0uy,86,2015-12-04,False,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,258267,"['permanent wave', 'pop']",0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027
11,Sunroof,"Nicky Youre, dazy",Good Times Go,1Y7AsjpYThuzMClDdu4FrV,5YqEzk3C5c3UZ1D5fJUlXA,86,2023-06-09,False,https://open.spotify.com/track/5YqEzk3C5c3UZ1D5fJUlXA,163026,['singer-songwriter pop'],0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443
12,Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,4JPguzRps3kuWDD5GS6oXr,6RUKPb4LETWmmr3iAEQktW,89,2017-04-07,False,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,247160,['pop'],0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
13,Dandelions,Ruth B.,Safe Haven,6FgtuX3PtiB5civjHYhc52,2eAvDnpXP5W0cVtiI0PUxV,90,2017-05-05,False,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV,233720,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959
14,Counting Stars,OneRepublic,Native,20lOt6G8MHv8ZO7ViOmiP7,2tpWsVSb9UEmDRxAl1zhX1,90,2013-01-01,False,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,257267,"['piano rock', 'pop']",0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016
15,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),3wBabo4pmzsYjALMSKY7Iq,7JJmb5XwzOO8jgpou264Ml,89,2017-04-20,False,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,199440,"['canadian pop', 'pop', 'viral pop']",0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998
16,If We Ever Broke Up,Mae Stephens,If We Ever Broke Up,4eadTzshRApGna6Ppz5XwO,6maTPqynTmrkWIralgGaoP,81,2023-02-10,True,https://open.spotify.com/track/6maTPqynTmrkWIralgGaoP,142759,['singer-songwriter pop'],0.898,0.732,7,-3.982,1,0.0427,0.621,1.29e-05,0.0908,0.96,115.955
17,Happier,"Marshmello, Bastille",Happier,2u4Yp2ADTKYPwFSBFL4ffa,7BqHUALzNBTanL6OvsqmC1,87,2018-08-17,False,https://open.spotify.com/track/7BqHUALzNBTanL6OvsqmC1,214290,"['brostep', 'edm', 'pop', 'progressive electro house']",0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011
18,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,7ef4DlsgrMEH11cDZd32M6,87,2018-04-06,False,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,214847,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994
19,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,3vLaOYCNCzngDf8QdBg2V1,32OlwWuMpZ6b0aN2RZOeMS,86,2015-01-12,True,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,269667,['pop soul'],0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988
